2026-05-11 10:29:07 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23900call: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:29:07 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23900put: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:29:08 | INFO     | nifty_bot.breeze          | Options chain fetched: 0 contracts
2026-05-11 10:29:08 | INFO     | nifty_bot.breeze_feed     | BreezeFeed: chain built — 0 contracts, ATM=23850
2026-05-11 10:29:08 | INFO     | nifty_bot.strategy        | ATMStraddle legs: []
2026-05-11 10:29:08 | ERROR    | nifty_bot.strategy        | No legs returned by strategy — aborting entry
2026-05-11 10:29:09 | WARNING  | nifty_bot.breeze          | Spot fetch failed, using cache: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:29:14 | INFO     | nifty_bot.strategy        | Entering atm_straddle | ATM=23850 | Expiry=2026-05-14
2026-05-11 10:29:16 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23800put: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:29:16 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23850call: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:29:17 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23850put: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:29:18 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23900put: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:29:19 | WARNING  | nifty_bot.breeze          | Spot fetch failed, using cache: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:29:19 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23950put: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:29:19 | INFO     | nifty_bot.breeze          | Options chain fetched: 0 contracts
2026-05-11 10:29:19 | INFO     | nifty_bot.breeze_feed     | BreezeFeed: chain built — 0 contracts, ATM=23850
2026-05-11 10:29:19 | INFO     | nifty_bot.strategy        | ATMStraddle legs: []
2026-05-11 10:29:19 | ERROR    | nifty_bot.strategy        | No legs returned by strategy — aborting entry
2026-05-11 10:29:24 | INFO     | nifty_bot.strategy        | Entering atm_straddle | ATM=23850 | Expiry=2026-05-14
2026-05-11 10:29:25 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23750call: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:29:26 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23800call: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:29:26 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23800put: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:29:27 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23850call: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:29:28 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23900call: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:29:29 | WARNING  | nifty_bot.breeze          | Spot fetch failed, using cache: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:29:29 | INFO     | nifty_bot.breeze          | Options chain fetched: 0 contracts
2026-05-11 10:29:29 | INFO     | nifty_bot.breeze_feed     | BreezeFeed: chain built — 0 contracts, ATM=23850
2026-05-11 10:29:29 | INFO     | nifty_bot.strategy        | ATMStraddle legs: []
2026-05-11 10:29:29 | ERROR    | nifty_bot.strategy        | No legs returned by strategy — aborting entry
2026-05-11 10:29:35 | INFO     | nifty_bot.strategy        | Entering atm_straddle | ATM=23850 | Expiry=2026-05-14
2026-05-11 10:29:36 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23750put: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:29:37 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23800put: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:29:39 | WARNING  | nifty_bot.breeze          | Chain fetch failed 23900call: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:29:39 | WARNING  | nifty_bot.breeze          | Spot fetch failed, using cache: Error in get_quotes(): Expecting value: line 1 column 1 (char 0)
2026-05-11 10:29:40 | INFO     | nifty_bot.breeze          | Options chain fetched: 0 contracts
2026-05-11 10:29:40 | INFO     | nifty_bot.breeze_feed     | BreezeFeed: chain built — 0 contracts, ATM=23850
2026-05-11 10:29:40 | INFO     | nifty_bot.strategy        | ATMStraddle legs: []
